grad_norm,loss,loss_q0,loss_q1,loss_q2,loss_q3,mse,mse_q0,mse_q1,mse_q2,mse_q3,samples,step,eval_loss,eval_loss_q0,eval_loss_q1,eval_loss_q2,eval_loss_q3,eval_mse,eval_mse_q0,eval_mse_q1,eval_mse_q2,eval_mse_q3
4.484314856560201,2.5144705772399902,2.468982070684432,2.465640051024301,2.5613725071861637,2.5472786059746375,1.4171581268310547,1.3782946616411211,1.4376926762717113,1.437134924389067,1.4106057882308962,64,0,,,,,,,,,,
,,,,,,,,,,,,,2.170255661010742,2.051392614841461,2.2058444221814466,2.2549907847454667,2.157919857237074,1.0901025533676147,0.9570466677347818,1.148686670594745,1.159219908086877,1.0931313832600913
1.8260135277490646,1.6808710837364202,1.516783483381626,1.6658788284391748,1.7350781352568323,1.8535196371771048,0.6373558557033543,0.47577192597288337,0.6200206162269069,0.6885587854217425,0.8130122544004403,3264,50,,,,,,,,,,
1.4064210826601795,1.4853099274635317,1.2718262832519414,1.455276177660394,1.5720874653367247,1.717369400523604,0.5112766236066817,0.30622734783278943,0.47316976254873894,0.5934771269132713,0.7457063834182913,6464,100,,,,,,,,,,
1.3231061797585502,1.419801304340362,1.220214925421045,1.365044578958416,1.5003028063934518,1.64002936693627,0.502712251543999,0.2987511401361921,0.45714495095639807,0.5769622440861661,0.7304839262812168,9664,150,,,,,,,,,,
1.2309176977521776,1.3652690386772157,1.146336296389533,1.3155639356443931,1.4500010113127475,1.6027657110299627,0.4938663613796234,0.2819718391569718,0.44830026160029857,0.5694848786869484,0.7306343115977396,12864,200,,,,,,,,,,
1.1529678638430878,1.300527079105377,1.0800872651650957,1.252261498772641,1.3841585877694569,1.550739541719998,0.4794866651296616,0.2663642791981358,0.43953621343525473,0.5562876165226887,0.7202950257521419,16064,250,,,,,,,,,,
1.0873954580562577,1.2664758276939387,1.063262875847535,1.2196718196456278,1.3362039572648925,1.4961272473681972,0.48742925345897675,0.2804891757950598,0.4381338046051755,0.5597121290332596,0.7209948896035233,19264,300,,,,,,,,,,
1.0163901301110394,1.2160733962059016,1.009898943697234,1.172407809381769,1.2975343855765036,1.4503804440551182,0.4762734812498093,0.2695442986418854,0.4325597135107409,0.5573211244421211,0.7121078369172326,22464,350,,,,,,,,,,
0.9652183594162893,1.1767880940437316,0.9784967700244187,1.1225260511110897,1.2524890031228486,1.425959184743412,0.47423578500747676,0.26623841707528756,0.4279762729183659,0.5527000753573202,0.7266615378677393,25664,400,,,,,,,,,,
0.9012579574742547,1.130154092311859,0.9106172333720701,1.1004871095515074,1.2149796334240182,1.3787948902472507,0.46811343073844913,0.25271674675465927,0.43163813888754476,0.5490501616729637,0.7226981953681892,28864,450,,,,,,,,,,
